Time,AE,EC,M,O
3590.302879,50290.90909,-6.94E-07,0.104985396,1
3590.803731,60488.0597,-6.85E-07,0.097217767,1
3591.306418,58602.98507,-6.93E-07,0.098952706,1
3591.805,56622.72727,-6.92E-07,0.104048558,1
3592.30403,62797.01493,-6.88E-07,0.093497752,1
3592.806567,59792.53731,-6.93E-07,0.106507283,1
3593.307424,56474.24242,-6.86E-07,0.094879518,1
3593.803788,55322.72727,-6.88E-07,0.101703176,1
3594.303731,59225.37313,-6.87E-07,0.100547384,1
3594.806418,56295.52239,-6.86E-07,0.096304442,1
3595.305303,56730.30303,-6.89E-07,0.105585798,1
3595.80403,62186.56716,-6.85E-07,0.093087394,1
3596.303485,52419.69697,-6.88E-07,0.104638007,1
3596.80403,60616.41791,-6.86E-07,0.098587664,1
3597.304697,54748.48485,-6.88E-07,0.097939211,1
3597.803731,54920.89552,-6.90E-07,0.103106995,1
3598.306567,59516.41791,-6.91E-07,0.094787808,1
3598.805152,57957.57576,-6.92E-07,0.106037057,1
3599.303881,52325.37313,-6.82E-07,0.094209675,1
3599.804545,54974.24242,-6.91E-07,0.101678532,1
3600.304925,61185.07463,-7.08E-07,0.101947312,1
3600.805,56577.27273,-7.01E-07,0.095352501,1
3601.303731,59980.59701,-6.95E-07,0.104470059,1
3601.806418,63192.53731,-6.92E-07,0.094656177,1
3602.305,52906.06061,-6.97E-07,0.104823476,1
3602.800758,61050,-6.91E-07,0.09781307,1
3603.301493,56514.92537,-6.94E-07,0.097354792,1
3603.80597,55464.1791,-6.93E-07,0.104452437,1
3604.304394,63383.33333,-6.91E-07,0.09384958,1
3604.80403,55755.22388,-6.92E-07,0.104857939,1
3605.306269,56350.74627,-6.91E-07,0.095737997,1
3605.805152,55225.75758,-6.93E-07,0.101439029,1
3606.304394,59296.9697,-6.85E-07,0.099343739,1
3606.804242,55254.54545,-6.93E-07,0.095733114,1
3607.304776,59017.91045,-6.88E-07,0.105696637,1
3607.804697,59209.09091,-6.90E-07,0.093723987,1
3608.303731,49217.91045,-6.91E-07,0.103640892,1
3608.809394,60422.72727,-6.87E-07,0.099316721,1
3609.305303,53771.21212,-6.94E-07,0.097949069,1
3609.798923,56129.23077,-6.89E-07,0.102866358,1
3610.300746,58755.22388,-6.90E-07,0.09343913,1
3610.805522,59883.58209,-6.92E-07,0.106053587,1
3611.305,55734.84848,-6.87E-07,0.094897043,1
3611.803881,55523.8806,-6.88E-07,0.100729185,1
3612.306567,61810.44776,-6.84E-07,0.101726848,1
3612.805455,56436.36364,-6.89E-07,0.095364549,1
3613.301515,60610.60606,-6.85E-07,0.105144761,1
3613.80209,60573.13433,-6.82E-07,0.093135228,1
3614.306119,51356.71642,-6.89E-07,0.105054307,1
3614.805,58353.0303,-6.84E-07,0.097696605,1
3615.30403,55862.68657,-6.92E-07,0.097327279,1
3615.806567,54794.02985,-6.90E-07,0.104118863,1
3616.305606,63333.33333,-6.93E-07,0.09386601,1
3616.802121,56581.81818,-6.92E-07,0.10561099,1
3617.302836,53782.08955,-6.90E-07,0.094282683,1
